id,title,song_num,page_num,catalogue_num,singer_num,performers,performer_genders,performer_band,culture_dplace_id,performer_age_group,genre,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,comments,lyrics,free_translation,tonality,analysis
ute103,Smoking Song (a),103,187,781,21,Jim Kolorow (Tšo'kwata'piyitš),male,Uncompahgre,Nd62,old,smoking song,120,120,120,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,B flat minor,"This song is irregular in its melodic structure, but is classified according to the latter portion, which contains the triad of B flat minor. All the tones of the octave except the sixth are present in the melody, which has a compass of 1 1 tones. About three-fourths of the intervals are minor thirds and major seconds."
ute104,Smoking Song (b),104,188,782,21,Jim Kolorow (Tšo'kwata'piyitš),male,Uncompahgre,Nd62,old,smoking song,84,84,84,1,3/4|2/4,TRUE,TRUE,TRUE,voice|drum,,,,G sharp minor,"Harmonic in structure, this melody contains only the tones of the minor triad and fourth. It has a range of nine tones and contains 32 progressions, more than half of which are a major third or larger than a major third."
ute105,Smoking Song (c),105,188,783,21,Jim Kolorow (Tšo'kwata'piyitš),male,Uncompahgre,Nd62,old,smoking song,72,72,72,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,E major,"This song opens with the same phrase which formed the rhythmic unit of the preceding song, but as there is no phrase resembling it in the remainder of the song it is not considered a rhythmic unit. The compass of the song is only six tones, this being much smaller than that of the preceding songs. The melody tones are those of the fourth five-toned scale. A rapid drumbeat charac terizes the song, only one other song of this series (No. 100) having the same drum rhythm."
ute106,Song When Begging for Tobacco,106,189,727,16,Tim Johnson,male,White River and Uinta,Nd58,old,miscellaneous,72,72,72,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,E flat major,"Six renditions of this song were recorded, the last three being like the transcription and the others differing slightly in the fourth and fifth measures from the end. The song is melodic in structure, has a compass of 12 tones, and contains the major triad and second. The principal interval is the major second, comprising 71 per cent of the intervals. (See No. 24.) The song contains no rhythmic unit and is not rhythmic in general character."
ute107,Song When Welcoming Visitors,107,189,728,16,Tim Johnson,male,White River and Uinta,Nd58,old,miscellaneous,80,80,80,1,2/4|3/4,TRUE,TRUE,TRUE,voice|drum,,,,F major,"This song is characterized by the interval of the fourth, one-third of the intervals being fourths. The song has no rhythmic interest, which may account for the fact that the renditions differ in tone values, the transcription being from the first rendition. In structure the song is melodic, in tonality it is major, and it contains all the tones of the octave except the sixth and seventh. It has a compass of seven tones."
ute108,Serenade,108,191,729,16,Tim Johnson,male,White River and Uinta,Nd58,old,miscellaneous,72,72,72,1,2/4|3/4,TRUE,TRUE,TRUE,voice|beating on rawhide,,,,A flat major,"This song is harmonic in structure and contains the tones of the fourth five-toned scale. It progresses chiefly by whole tones, about 61 per cent of the intervals being major seconds. (See No. 24.) The fourth is also a prominent interval."
ute109,Song Around a Rawhide,109,192,785,2,Nikoree (Nikavari),,Uncompahgre,Nd62,old,miscellaneous,96,96,96,1,2/4|3/4,TRUE,TRUE,TRUE,voice|beating on rawhide,,,,B flat major,"In this song the fourth is raised a semitone. The song contains all the tones of the octave except the seventh and is har monic in structure. The progressions number 44, somewhat more than the usual number in Ute songs. Only four of these intervals are larger than a minor third."
ute110,Dream Song,110,193,799,23,Arkansaw (Kanav),male,White River and Uinta,Nd58,old,miscellaneous,120,,120,1,3/4|2/4,TRUE,,,voice,"""Drum not recorded""",,,A major,"Four renditions of this little melody were recorded with out a break in the time. The keynote is A, and the melody contains only this tone and its second, third, and sixth—a tone material not occurring in the songs previously analyzed by the writer. More than 65 per cent of the progressions are whole tones. (See No. 28.) Part of the melody lies above and part below the keynote. Two rhythmic units occur, the first in triple and the second in double time."
ute111,Rudimentary Song (a),,202,,,Weeyutchee (Wiyu'tš),female,,,,rudimentary,84,,84,1,2/4|3/4,TRUE,,,voice,"""Drum not recorded""",,,,
ute112,Rudimentary Song B,,203,,,Weeyutchee (Wiyu'tš),female,,,,rudimentary,88,,88,1,2/4|3/4,TRUE,,,voice,,,,,
ute113,Rudimentary Song C,,204,,,Weeyutchee (Wiyu'tš),female,,,,rudimentary,88|96,,88|96,1,3/4|2/4,TRUE,,,voice,,,,,
ute114,Rudimentary Song D,,204,,,Weeyutchee (Wiyu'tš),female,,,,rudimentary,63,,63,1,3/4|2/4,TRUE,,,voice,,,,,
ute115,Untitled Game Song,,,,,,,,,,,,,,,,,,,,,,,,
